# Epoch,Total Loss,Schrodinger0,normalization0,correlations0,energy_difference0,energy_minimization0,Schrodinger1,normalization1,correlations1,energy_difference1,energy_minimization1,Schrodinger2,normalization2,correlations2,energy_difference2,energy_minimization2,Schrodinger3,normalization3,correlations3,energy_difference3,energy_minimization3
0.000000,11.357523,0.765847,0.238232,0.000000,0.000000,0.000000,2.479153,0.158544,0.000006,0.000000,0.000000,2.548178,0.181909,0.000019,0.000000,0.000000,4.908086,0.035123,0.000017,0.000000,0.000000
100.000000,11.782706,0.880148,0.350353,0.000000,0.000000,0.000000,2.337368,0.295084,0.000023,0.000000,0.000000,2.274610,0.184110,0.000026,0.000000,0.000001,5.307689,0.085555,0.000018,0.000000,0.000000
200.000000,10.760763,0.579760,0.097535,0.000000,0.000000,0.000001,2.567129,0.017849,0.000000,0.000000,0.000002,2.618484,0.016950,0.000015,0.000000,0.000002,4.792053,0.054545,0.000001,0.000000,0.000003
300.000000,10.872255,0.562903,0.048441,0.000000,0.000000,0.000003,2.598600,0.000092,0.000001,0.000000,0.000003,2.801608,0.003157,0.000012,0.000000,0.000004,4.803818,0.034264,0.000006,0.000000,0.000005
400.000000,11.444410,0.608579,0.025402,0.000000,0.000000,0.000000,2.400378,0.000864,0.000001,0.000000,0.000000,3.020889,0.014858,0.000027,0.000000,0.000000,5.310897,0.021863,0.000013,0.000000,0.000001
500.000000,10.978283,0.615830,0.013596,0.000000,0.000000,0.000000,2.429504,0.001369,0.000000,0.000000,0.000001,2.774629,0.006129,0.000014,0.000000,0.000001,5.106592,0.013679,0.000003,0.000000,0.000001
600.000000,11.385439,0.631233,0.007624,0.000000,0.000000,0.000002,2.544577,0.000118,0.000002,0.000000,0.000002,2.847511,0.024843,0.000020,0.000000,0.000003,5.282556,0.011695,0.000013,0.000000,0.000004
700.000000,12.341375,0.846391,0.086637,0.000000,0.000000,0.000001,2.393039,0.001797,0.000001,0.000001,0.000001,3.366595,0.049722,0.000050,0.000002,0.000014,5.486108,0.011923,0.000007,0.000001,0.000042
800.000000,11.109772,0.605041,0.020351,0.000000,0.000000,0.000002,2.521138,0.002419,0.000000,0.000000,0.000004,2.652889,0.003100,0.000019,0.000000,0.000006,5.274392,0.008687,0.000002,0.000000,0.000009
900.000000,12.130400,0.560916,0.008906,0.000000,0.000000,0.000000,3.187842,0.000791,0.000010,0.000000,0.000000,3.405890,0.012747,0.000047,0.000000,0.000001,4.820082,0.031266,0.000045,0.000000,0.000002
1000.000000,13.153223,0.642268,0.004935,0.000000,0.000000,0.000002,2.978601,0.000000,0.000000,0.000000,0.000002,4.273385,0.021190,0.000016,0.000000,0.000001,5.195232,0.012297,0.000009,0.000000,0.000001
1100.000000,10.557470,0.799635,0.005267,0.000000,0.000000,0.000000,2.358630,0.000244,0.000000,0.000000,0.000000,2.544873,0.005975,0.000005,0.000000,0.000000,4.810569,0.010135,0.000017,0.000000,0.000000
1200.000000,11.473320,0.629781,0.007685,0.000000,0.000000,0.000001,2.609539,0.000069,0.000001,0.000000,0.000001,3.109866,0.009981,0.000010,0.000000,0.000000,5.080637,0.013779,0.000001,0.000000,0.000000
1300.000000,12.336557,0.699450,0.008144,0.000000,0.000000,0.000001,2.476674,0.001164,0.000000,0.000001,0.000007,3.329770,0.009762,0.000009,0.000001,0.000025,5.751250,0.006024,0.000012,0.000001,0.000053
1400.000000,11.488977,0.655688,0.007961,0.000000,0.000000,0.000000,2.541613,0.000016,0.000002,0.000000,0.000001,3.118543,0.027876,0.000008,0.000000,0.000005,5.102190,0.010313,0.000009,0.000000,0.000009
1500.000000,10.964151,0.670805,0.012499,0.000000,0.000000,0.000000,2.397997,0.000256,0.000000,0.000000,0.000000,2.864102,0.007359,0.000013,0.000000,0.000001,4.977784,0.009838,0.000008,0.000000,0.000003
1600.000000,10.702486,0.641358,0.008222,0.000000,0.000000,0.000001,2.443867,0.010678,0.000001,0.000000,0.000001,2.745174,0.006361,0.000025,0.000000,0.000003,4.810911,0.004807,0.000003,0.000000,0.000005
1700.000000,11.547405,0.699130,0.014617,0.000000,0.000000,0.000000,2.517182,0.003151,0.000003,0.000000,0.000000,3.182437,0.004533,0.000003,0.000000,0.000000,5.101987,0.010536,0.000007,0.000000,0.000000
1800.000000,11.733644,0.581277,0.006904,0.000000,0.000000,0.000001,2.456834,0.000205,0.000001,0.000000,0.000002,3.226166,0.015082,0.000009,0.000000,0.000003,5.426376,0.006956,0.000004,0.000000,0.000004
1900.000000,11.396488,0.584453,0.004299,0.000000,0.000000,0.000000,2.581177,0.000904,0.000002,0.000000,0.000000,3.123451,0.003923,0.000021,0.000000,0.000001,5.056762,0.007431,0.000009,0.000000,0.000002
2000.000000,12.882383,0.643905,0.035211,0.000000,0.000000,0.000001,2.304800,0.003746,0.000014,0.000000,0.000003,4.583803,0.034264,0.000067,0.000000,0.000005,5.180950,0.008044,0.000006,0.000000,0.000007
2100.000000,11.010605,0.652081,0.006376,0.000000,0.000000,0.000007,2.326972,0.001055,0.000000,0.000000,0.000009,2.964894,0.002366,0.000022,0.000000,0.000011,5.010728,0.014458,0.000010,0.000000,0.000013
2200.000000,11.238003,0.841860,0.020386,0.000000,0.000000,0.000001,2.428262,0.004067,0.000004,0.000000,0.000001,3.092894,0.007342,0.000003,0.000000,0.000002,4.807518,0.015294,0.000013,0.000000,0.000003
2300.000000,14.269813,3.748812,0.006281,0.000000,0.000000,0.000006,2.434192,0.000191,0.000006,0.000000,0.000003,3.054584,0.002700,0.000031,0.000000,0.000001,4.957655,0.006813,0.000016,0.000000,0.000000
2400.000000,11.824353,0.602607,0.008712,0.000000,0.000000,0.000000,2.517365,0.000016,0.000000,0.000000,0.000000,2.959260,0.009027,0.000023,0.000000,0.000001,5.690139,0.005910,0.000009,0.000000,0.000001
2500.000000,13.243145,2.656689,0.005152,0.000000,0.000000,0.000001,2.166285,0.001245,0.000001,0.000000,0.000002,2.922129,0.005484,0.000018,0.000000,0.000005,5.456437,0.008820,0.000001,0.000000,0.000007
2600.000000,10.870320,0.586939,0.008362,0.000000,0.000000,0.000001,2.373638,0.000244,0.000003,0.000000,0.000001,2.928111,0.006017,0.000006,0.000000,0.000000,4.921144,0.015368,0.000020,0.000000,0.000000
2700.000000,11.133707,0.676045,0.006184,0.000000,0.000000,0.000004,2.187286,0.004673,0.000001,0.000000,0.000003,3.249338,0.005609,0.000009,0.000000,0.000001,4.982070,0.007621,0.000004,0.000000,0.000001
2800.000000,11.250618,0.598801,0.003618,0.000000,0.000000,0.000000,2.340915,0.000806,0.000001,0.000001,0.000001,3.035836,0.003180,0.000011,0.000001,0.000008,5.225554,0.004238,0.000002,0.000001,0.000023
2900.000000,13.439253,0.553811,0.010847,0.000000,0.000000,0.000000,3.661813,0.011511,0.000002,0.000000,0.000002,2.903001,0.018548,0.000028,0.000000,0.000006,6.147747,0.023939,0.000073,0.000000,0.000012
3000.000000,12.303743,0.772486,0.004480,0.000000,0.000000,0.000006,2.362157,0.013060,0.000002,0.000000,0.000007,3.957800,0.008451,0.000013,0.000000,0.000008,5.157982,0.010103,0.000003,0.000000,0.000009
3100.000000,11.008413,0.611614,0.003260,0.000000,0.000000,0.000002,2.270246,0.000250,0.000005,0.000000,0.000002,2.986386,0.003002,0.000027,0.000000,0.000001,5.087698,0.006924,0.000007,0.000000,0.000001
3200.000000,11.404811,0.602473,0.009169,0.000000,0.000000,0.000000,2.414949,0.000814,0.000003,0.000000,0.000000,2.952979,0.005855,0.000028,0.000000,0.000000,5.362784,0.006081,0.000019,0.000000,0.000000
3300.000000,16.442965,0.974259,0.011659,0.000000,0.000000,0.000000,6.408545,0.003608,0.000001,0.000001,0.000003,3.856569,0.012014,0.000008,0.000001,0.000015,5.134529,0.006607,0.000005,0.000001,0.000035
3400.000000,13.352089,0.664671,0.003582,0.000000,0.000000,0.000001,2.324548,0.000124,0.000001,0.000000,0.000000,3.623441,0.006656,0.000014,0.000000,0.000000,6.692349,0.012415,0.000006,0.000000,0.000001
3500.000000,11.373444,0.752349,0.017894,0.000000,0.000000,0.000000,2.115772,0.000095,0.000000,0.000000,0.000001,3.646389,0.016159,0.000015,0.000000,0.000003,4.788363,0.004770,0.000012,0.000000,0.000006
3600.000000,11.236666,0.564239,0.007925,0.000000,0.000000,0.000006,2.349063,0.000033,0.000007,0.000000,0.000007,2.998709,0.023387,0.000053,0.000000,0.000010,5.134987,0.008380,0.000090,0.000000,0.000013
